year,position,artist,title
1995,53,Strike,U Sure Do
1995,54,Meat Loaf,I'd Lie For You (And That's The Truth)
1995,55,Perfecto Allstarz,Reach Up (Papa's Got A Brand New Pigbag)
1995,56,Michael Jackson & Janet Jackson,Scream
1995,57,Pulp,Mis-shapes / Sorted For E's And Wizz
1995,58,East 17,Stay Another Day
1995,59,(MC Sar And) The Real McCoy,Run Away
1995,60,Wet Wet Wet,Julia Says
1995,61,Queen,Heaven For Everyone
1995,62,Shaggy featuring Rayvon,In The Summertime
1995,63,Whigfield,Think Of You
1995,64,Bill Whelan featuring Anuna & The RTE Concert Orchestra,Riverdance
1995,65,Bjork,It's Oh So Quiet
1995,66,Brownstone,If You Love Me
1995,67,Ali Campbell,That Look In Your Eye
1995,68,Bryan Adams,Have You Ever Really Loved A Woman?
1995,69,Scarlet,Independent Love Song
1995,70,Boyzone,Key To My Life
1995,71,The Human League,Tell Me When
1995,72,Billie Ray Martin,Your Loving Arms
1995,73,Freak Power,Turn On Tune In Cop Out
1995,74,Clock,Whoomph! (There It Is)
1995,75,Corona,Baby Baby
1995,76,Oasis,Whatever
1995,77,Enya,Anywhere Is
1995,78,Love City Groove,Love City Groove
1995,79,Deuce,Call It Love
1995,80,Clock,Axel F / Keep Pushin'
1995,81,R Kelly,Bump 'N' Grind
1995,82,De'Lacy,Hideaway
1995,83,Michael Bolton,Can I Touch You... There?
1995,84,Grace,Not Over Yet
1995,85,Eternal,Power Of A Woman
1995,86,EMF / Reeves & Mortimer,I'm A Believer
1995,87,The Beatles,Free As A Bird
1995,88,Boyzone,So Good
1995,89,Bon Jovi,This Ain't A Love Song
1995,90,Janet Jackson,Whoops Now / What'll I Do
1995,91,Montell Jordan,This Is How We Do It
1995,92,Dana Dawson,3 Is Family
1995,93,Jam & Spoon featuring Plavka,Right In The Night (Fall In Love With Music)
1995,94,The Nightcrawlers featuring John Reid,Surrender Your Love
1995,95,McAlmont & Butler,Yes
1995,96,ADAM featuring Amy,Zombie
1995,97,Joshua Kadison,Jessie
1995,98,Celine Dion,Tu M'aimes Encore (To Love Me Again)
1995,99,Wet Wet Wet,Somewhere Somehow
1995,100,(MC Sar And) The Real McCoy,Love And Devotion
1998,1,Celine Dion,My Heart Will Go On
1998,2,Cher,Believe
1998,3,Run-DMC vs Jason Nevins,It's Like That
1998,4,All Saints,Never Ever
1998,5,LeAnn Rimes,How Do I Live
1998,6,B*Witched,C'est La Vie
1998,7,Boyzone,No Matter What
1998,8,Pras Michel featuring ODB & Mya,Ghetto Supastar (That Is What You Are)
1998,9,Savage Garden,Truly Madly Deeply
1998,10,The Tamperer featuring Maya,Feel It
1998,11,Aerosmith,I Don't Want To Miss A Thing
1998,12,Brandy & Monica,The Boy Is Mine
1998,13,All Saints,Under The Bridge / Lady Marmalade
1998,14,Aqua,Doctor Jones
1998,15,Stardust,Music Sounds Better With You
1998,16,Robbie Williams,Angels
1998,17,B*Witched,Rollercoaster
1998,18,Baddiel & Skinner and The Lightning Seeds,Three Lions '98
1998,19,Mousse T vs Hot 'N' Juicy,Horny
1998,20,The Mavericks,Dance The Night Away
1998,21,The Spice Girls,Viva Forever
1998,22,Another Level,Freak Me
1998,23,Janet Jackson,Together Again
1998,24,Robbie Williams,Millennium
1998,25,Madonna,Frozen
1998,26,The Lighthouse Family,High
1998,27,Savage Garden,To The Moon And Back
1998,28,T-Spoon,Sex On The Beach
1998,29,Various Artists,Perfect Day
1998,30,Cornershop,Brimful Of Asha
1998,31,Fat Les,Vindaloo
1998,32,The Beautiful South,Perfect 10
1998,33,Eagle-Eye Cherry,Save Tonight
1998,34,Steps,Heartbeat / Tragedy
1998,35,Usher,You Make Me Wanna
1998,36,Steps,Last Thing On My Mind
1998,37,Billie,Because We Want To
1998,38,The Spice Girls,Stop
1998,39,The Honeyz,Finally Found
1998,40,Teletubbies,Teletubbies Say Eh-Oh!
1998,41,Five,Got The Feelin'
1998,42,Steps,One For Sorrow
1998,43,Lutricia McNeal,Stranded
1998,44,Sash! featuring Tina Cousins,Mysterious Times
1998,45,Billie,Girlfriend
1998,46,Bamboo,Bamboogie
1998,47,The Spice Girls,Too Much
1998,48,George Michael,Outside
1998,49,Aqua,Turn Back Time
1998,50,Jamiroquai,Deeper Underground
1998,51,Busta Rhymes,Turn It Up / Fire It Up
1998,52,Jennifer Paige,Crush
1998,53,Will Smith,Gettin' Jiggy Wit It
1998,54,Sash!,La Primavera
1998,55,Boyzone,All That I Need
1998,56,Ace Of Base,Life Is A Flower
1998,57,Manic Street Preachers,If You Tolerate This Your Children Will Be Next
1998,58,Robbie Williams,Let Me Entertain You
1998,59,Des'ree,Life
1998,60,Puff Daddy featuring Jimmy Page,Come With Me
1998,61,Touch & Go,Would You?
1998,62,Wyclef Jean,Gone Till November
1998,63,The Tamperer featuring Maya,If You Buy This Record Your Life Will Be Better
1998,64,Sweetbox,Everything's Gonna Be Alright
1998,65,Melanie B featuring Missy 'Misdemeanor' Elliott,I Want You Back
1998,66,Will Smith,Just The Two Of Us
1998,67,Wildchild,Renegade Master '98
1998,68,Madonna,Ray Of Light
1998,69,Karen Ramirez,Looking For Love
1998,70,All Saints,Bootie Call
1998,71,Oasis,All Around The World
1998,72,Bus Stop featuring Carl Douglas,Kung Fu Fighting
1998,73,Boyzone,I Love The Way You Love Me
1998,74,Backstreet Boys,All I Have To Give
1998,75,Five,Everybody Get Up
1998,76,Billie Myers,Kiss The Rain
1998,77,U2,Sweetest Thing
1998,78,The Vengaboys,Up And Down
1998,79,E17,Each Time
1998,80,Natalie Imbruglia,Big Mistake
1998,81,Catatonia,Mulder And Scully
1998,82,The Corrs,Dreams
1998,83,The Corrs,What Can I Do
1998,84,Spacedust,Gym And Tonic
1998,85,Natalie Imbruglia,Torn
1998,86,Culture Club,I Just Wanna Be Loved
1998,87,B*Witched,To You I Belong
